gender,job,workclass_DE,education_DE,marital.status_DE,race_DE,hours.per.week_DE,income_DE,company_DE,lat,long,city_pop,product_id_TE,brand_TE,user_id_TE,user_session_TE,shopping_mall_TE,trans_year,trans_month,amt,is_fraud
0,93,2,11,6,4,32,0,341,32.2768,-95.3031,144160,22,357,195,229,4,0,6,347.88,1
0,14,2,11,6,4,13,0,359,38.9829,-93.9757,9512,503,162,255,428,2,0,10,15.38,0
0,66,2,15,6,2,32,0,359,39.8013,-82.8125,460,1053,78,503,352,6,0,2,280.61,1
0,1,2,5,0,4,32,0,233,42.6835,-77.8664,4895,440,186,162,181,7,0,3,1020.32,1
0,40,2,15,5,4,32,0,283,40.029,-93.1607,602,103,357,473,146,4,0,4,762.93,1
1,119,2,11,0,4,37,0,68,42.377,-83.0796,673342,263,145,202,385,2,0,11,995.42,1
1,24,2,0,5,4,32,0,359,43.1128,-77.4906,8019,255,145,86,677,3,1,7,82.25,0
0,27,5,10,4,4,15,1,50,37.1349,-77.7364,1051,968,283,169,289,5,0,5,1.36,0
1,93,0,11,0,4,32,0,50,38.0649,-99.2374,365,749,207,266,29,6,1,8,1051.89,1
0,134,2,15,4,4,51,1,317,40.7268,-124.2174,276,61,18,268,636,4,0,0,349.7,1
1,17,2,10,0,2,27,1,90,37.7878,-122.1884,381459,1029,292,178,524,6,1,7,8.78,1
0,138,4,14,4,4,37,1,68,35.2289,-88.64399999999999,3876,392,292,166,615,1,0,2,788.22,1
1,21,2,9,6,4,15,1,50,45.32899999999999,-98.0837,52,991,292,584,60,6,1,3,68.94,0
1,10,2,12,5,4,46,1,359,32.9396,-105.8189,899,1494,292,7,232,0,1,4,6.2,0
1,81,2,10,4,4,32,1,50,45.5783,-94.4199,1536,474,292,237,525,4,0,6,261.49,1
1,159,2,14,0,4,32,1,250,40.7692,-103.0968,648,1178,292,21,748,8,1,7,317.33,1
0,59,2,1,0,4,62,1,353,27.9004,-82.7152,172247,1309,292,412,192,6,0,7,18.86,1
0,80,2,12,0,4,41,1,339,44.4971,-67.9503,1131,517,357,193,746,9,1,4,8.61,0
0,23,2,7,4,2,32,1,20,41.1558,-101.136,1789,81,146,585,243,7,0,6,15.93,0
0,151,2,9,5,4,41,1,118,35.1836,-81.4552,5621,274,145,86,677,0,1,3,9.39,0
0,6,2,9,4,4,32,1,50,43.92100000000001,-122.7806,1420,789,360,5,756,1,0,3,51.02,1
0,51,2,1,5,4,34,0,233,39.1118,-89.7855,91,90,146,575,522,0,0,5,951.49,1
1,143,2,11,0,4,20,0,69,36.6966,-96.7869,471,1202,292,599,156,0,0,2,6.51,1
0,81,2,15,2,4,32,0,359,41.0036,-78.1104,489,1028,292,593,162,4,0,8,51.0,1
0,43,2,11,2,4,24,0,162,37.6223,-97.3136,409656,1035,338,532,452,6,0,9,294.55,1
0,93,2,8,2,4,32,0,117,41.5744,-75.5881,6508,1199,292,599,156,3,0,9,52.93,0
1,10,2,3,2,4,24,0,359,32.9396,-105.8189,899,1060,105,126,148,5,1,3,1010.72,1
1,149,2,4,2,4,32,0,50,34.9889,-106.0609,7268,180,18,507,38,1,0,10,1105.82,1
0,134,3,0,4,4,41,1,317,37.9943,-88.9417,324,287,1,79,390,0,1,6,19.21,1
